PLAYER_ID,PLAYER_NAME,POSITION,TEAM,AGE,GAMES,GAMES_STARTED,MIN_TOTAL,PTS,REB,AST,STL,BLK,TOV,PF,FG_PCT,FG3_PCT,FT_PCT,USAGE_RATE,DWS,OWS,WS,WS_48,PER,TS_PCT,BPM,OBPM,DBPM,PLUS_MINUS,WIN_PCT,NET_RATING
291,Paul Reed,C,DET,26,37,6,453,5.9,4.2,1.2,0.9,0.6,0.9,1.6,0.591,0.375,0.6,19.1,1.1,0.8,1.9,0.203,21.5,0.627,3.7,1.1,2.7,1.6761000000000001,0.5555,5.550000000000001
292,Nolan Traoré,PG,BRK,19,30,7,618,7,1.6,3.4,0.4,0.4,1.5,1.9,0.388,0.326,0.795,18.2,0.2,-0.4,-0.1,-0.01,8.1,0.495,-5.9,-4.2,-1.7,-3.6462000000000003,0.4115,-8.850000000000001
293,Jalen Pickett,SG,DEN,26,38,18,680,5.5,2.7,2.6,0.3,0.1,0.7,1,0.417,0.371,0.909,14.5,0.3,0.5,0.8,0.057,10.5,0.531,-2.3,-1.2,-1.1,-1.564,0.4655,-3.4499999999999997
294,Quenton Jackson,PG,IND,27,25,10,394,8.3,2,1.9,0.7,0.2,1.1,1.6,0.486,0.411,0.769,20.8,0.3,0.5,0.9,0.104,15.7,0.621,0.8,0,0.8,0.31520000000000004,0.512,1.2000000000000002
295,Derrick Jones Jr.,SF,LAC,28,21,16,515,9.9,2.6,1.1,0.9,1,0.8,2,0.543,0.394,0.763,15,0.4,0.8,1.2,0.116,14.4,0.66,0.5,0.3,0.2,0.2575,0.5075,0.75
296,Kris Murray,SF,POR,25,34,11,874,6.1,4,1.2,1.2,0.4,0.9,2,0.446,0.256,0.738,10.4,0.7,0.4,1.2,0.065,9.2,0.535,-1.9,-2.6,0.7,-1.6605999999999999,0.47150000000000003,-2.8499999999999996
297,Karlo Matković,PF,NOP,24,42,2,543,4.9,3.2,0.7,0.4,0.7,0.5,1.5,0.6,0.423,0.588,13.3,0.5,0.9,1.4,0.124,15.8,0.675,0.3,-0.2,0.5,0.16290000000000002,0.5045,0.44999999999999996
298,Jakob Poeltl,C,TOR,30,21,21,531,9.7,7.7,2.1,0.8,0.5,1.6,3.1,0.693,NA,0.596,14.5,0.8,0.9,1.7,0.154,16.3,0.691,0.4,-0.7,1.1,0.21240000000000003,0.506,0.6000000000000001
299,Aaron Holiday,PG,HOU,29,35,1,465,5.7,0.9,1,0.5,0.1,0.6,1.3,0.404,0.389,0.848,17.7,0.4,0.5,0.9,0.097,10.5,0.57,-2.1,-1.9,-0.2,-0.9765000000000001,0.4685,-3.1500000000000004
300,Micah Peavy,SG,NOP,24,46,1,693,4.3,2,1,0.7,0.1,0.3,1.5,0.382,0.239,0.733,14.5,0.3,-0.2,0.1,0.01,8.2,0.441,-5.4,-4.4,-1,-3.7422,0.419,-8.100000000000001
